id,товар,назва товару,марка,дата,час,шт,грам,літрів,вартість,сума,заповнив,is_interesting,why
86784510,косметика,касети для гоління,Gillette,07.11.2019,,1,,,198.16,,Женя,,
86784510,косметика,шампунь,Elseve,07.11.2019,,1,,,58.05,,Женя,,
86796868,NA,,,,,,,,,,Женя,,
86798267,молочна продукція,масло вершкове,Ферма,17.04.2019,,24,,,35.80,859.20,Женя,,
86798267,косметика,маска для волосся,Kallos Cosmetics,17.04.2019,,1,,,63.60,,Женя,,
86799934,алкоголь,лікер,Jagermeister,03.12.2019,,1,,,249.40,,Женя,,
86802962,NA,,,,,,,,,,Женя,,
86802997,алкоголь,настоянка,,23.05.2018,,2,,0.25,33.12,66.24,Женя,,
86802997,алкоголь,горілка,,23.05.2018,,1,,0.2,25.20,,Женя,,
86802997,фрукти,банани,,23.05.2018,,,2000,,22.30,44.60,Женя,,
86802997,фрукти,яблука,,23.05.2018,,,3000,,14.30,42.90,Женя,,
86802997,алкоголь,напій,Glen Morris Original,24.05.2018,,1,,0.5,72.64,,Женя,,
86802997,алкоголь,горілка,Перепілка,24.05.2018,,2,,0.2,25.47,50.94,Женя,,
86802997,солодощі,шоколад,Milka,24.05.2018,,6,37,,8.72,52.32,Женя,,
86802997,солодощі,батончик,Lion,24.05.2018,,2,42,,4.72,9.44,Женя,,
86802997,солодощі,батончик,EatMe,24.05.2018,,2,30,,7.36,14.72,Женя,,
86804083,солодощі,шоколад,Milka,21.06.2019,,3,300,,82.90,248.70,Женя,,
86804083,солодощі,драже,M&M,21.06.2019,,1,,,14.20,,Женя,,
86804551,алкоголь,лікер,Васагdi,03.11.2019,,1,,1,450.20,,Женя,,
86808117,NA,,,,,,,,,,Женя,,
86822068,NA,,,,,,,,,,Женя,,
86828827,ікра,ікра червона,Norven,30.10.2019,,2,,,238.30,476.67,Женя,,
86833422,алкоголь,віскі,Jack Daniels,28.12.2018,,1,,0.5,396.67,,Женя,,
86833422,алкоголь,лікер,Sheridans,28.12.2018,,1,,0.5,562.00,,Женя,,
86837999,алкоголь,віскі,Hankey Bannister,16.11.2019,,1,,0.7,350.60,,Женя,,
